CPE-housed Courses

Orientation
CPE 100 Computer Engineering Orientation 

"Architecture, Parallel, and Distributed Computing"
CPE(EE) 133 Digital Design 
CPE(EE) 233 Computer Design and Assembly Language Programming 
CPE(CSC) 225 Introduction to Computer Organization
CPE 315 Computer Architecture 
CPE 333 Computer Hardware Architecture and Design 
CPE 419 Parallel Computing
CPE(CSC) 469 Distributed Systems 

Embedded Systems
CPE 316 Microcontrollers and Embedded Applications 
CPE(EE) 439 Introduction to RTOS 
CPE(EE) 442 Real Time Embedded Systems 
CPE(EE) 446 Design of Fault Tolerant Digital Systems 
"CPE(EE) 447 Stringed Musical Instrument Acoustics, Mechanics, & Transducer Design "

Computer Networks
CPE 464 Introduction to Computer Networks 
CPE 465 Advanced Computer Networks 

Robotics
CPE(EE) 414 Robotic Systems Integration 
CPE 416 Autonomous Mobile Robotics 

"Ethical Computing, Privacy, and Security"
CPE(CSC) 422 Network and Web Security 
CPE(CSC) 425 Wireless Security 
CPE 426 Introduction to Hardware Security 

Design
CPE 350 Capstone I 
CPE 450 Capstone II 

Graduate Courses
CPE(CSC) 515 Computer Architecture 
CPE(EE) 521 Computer Systems 
CPE(EE) 522 Advanced Real-Time Operating Systems Design 
CPE(EE) 523 Digital Systems Design 
CPE(EE) 542 Advanced Real Time Embedded Systems 
CPE(CSC) 564 Computer Networks: Research Topics 

CPE Special Topics / Project Courses 
CPE 200 – Special Problems for Undergraduates 
CPE 290 – Selected Topics 
CPE 400 – Special Problems for Undergraduates 
CPE 461 – Senior Project I 
CPE 462 – Senior Project II 
CPE 470 – Selected Advanced Topics 
CPE 479 – Selected Advanced Laboratory 
CPE 493 – Cooperative Education Experience 
CPE 494 – Cooperative Education Experience 
CPE 495 – Cooperative Education Experience 
