"Term Code","Subject Code","Course"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 400"
"2228","CSC","CSC 402"
"2228","CSC","CSC 402"
"2228","CSC","CSC 402"
"2228","CSC","CSC 402"
"2228","CSC","CSC 430"
"2228","CSC","CSC 430"
"2228","CSC","CSC 430"
"2228","CSC","CSC 430"
"2228","CSC","CSC 430"
"2228","CSC","CSC 430"
"2228","CSC","CSC 445"
"2228","CSC","CSC 445"
"2228","CSC","CSC 445"
"2228","CSC","CSC 445"
"2228","CSC","CSC 448"
"2228","CSC","CSC 448"
"2228","CSC","CSC 448"
"2228","CSC","CSC 453"
"2228","CSC","CSC 453"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 466"
"2228","CSC","CSC 471"
"2228","CSC","CSC 471"
"2228","CSC","CSC 471"
"2228","CSC","CSC 471"
"2228","CSC","CSC 480"
"2228","CSC","CSC 480"
"2228","CSC","CSC 480"
